dataset,model,rmse,r2,n_train,n_test
df_ey,Lasso,14.472166067114504,0.37408209709517204,469337,117335
df_ey,MLP,13.255915746979761,0.4748664457294457,469337,117335
df_ey,RF,12.574794172627804,0.5274453193225261,469337,117335
df_ey,Ridge,14.472176347891237,0.3740812078123281,469337,117335
df_ey_no_exp_year,RF,14.32033132611258,0.3871468376007393,469337,117335
df_g,RF_with_genre,9.30424248570589,0.7400032841566466,186180,46545
df_g_no_genre,RF,11.912708150582278,0.5737868688571623,186180,46545
